date,cloud_coverage,processed
2013-05-26,23.788461177442365,True
2013-06-11,44.40628050612,True
2013-06-27,24.77263554103777,True
2013-07-13,17.126300030036788,True
2013-07-29,22.26719137193062,True
2013-08-14,28.26685345798603,True
2013-08-30,3.803362243748587,True
2013-10-01,33.23238154238942,True
2013-10-17,20.80019899376736,True
2013-11-18,30.076758091161672,True
2013-12-20,53.1907054892243,False
2014-01-05,53.74938987760006,False
2014-01-21,23.75563189907637,True
2014-02-06,16.63017665390103,True
2014-02-22,21.65887587294436,True
2014-03-10,25.92198881129384,True
2014-03-26,35.64095704738305,True
2014-04-11,14.535602988661111,True
2014-04-27,30.9030750168957,True
2014-05-13,19.901606029886608,True
2014-05-29,31.78446722234738,True
2014-06-14,13.183454419163477,True
2014-06-30,36.274076368551476,True
2014-07-16,44.127126041901334,True
2014-09-02,45.029825598858594,True
2014-10-04,23.84752571900578,True
2014-10-20,43.39634020425021,True
2014-12-07,53.91672767890666,False
2015-01-08,0.008799842306828065,True
2015-01-24,53.59592062776901,False
2015-02-09,52.489721784185626,False
2015-02-25,32.28218630322145,True
2015-03-29,10.621198468123449,True
2015-04-14,10.939283434707514,True
2015-04-30,21.365031538634828,True
2015-06-01,29.868635954043697,True
2015-07-03,20.056389389502137,True
2015-07-19,49.59389314410152,True
2015-08-04,39.41791976421116,True
2015-08-20,19.686819478861604,True
2015-09-21,37.45506213861981,True
2015-10-07,23.714917962003458,True
2015-11-24,39.76360103626943,True
2015-12-26,46.549499699632044,True
2016-01-11,48.21893538334459,True
2016-01-27,8.177634790117894,True
2016-02-12,8.263356987309455,True
2016-02-28,49.172439363219944,True
2016-03-15,14.935209694375606,True
2016-03-31,33.70074434932793,True
2016-04-16,31.22104265224901,True
2016-05-02,8.437007208830815,True
2016-05-18,38.63510925884208,True
2016-06-03,49.15941559660584,True
2016-07-05,37.055033040474584,True
2016-07-21,31.631373432454758,True
2016-08-06,41.27278572501314,True
2016-09-07,35.34476608845836,True
2016-10-09,20.80522077044379,True
2016-10-25,28.810308252609452,True
2016-11-10,10.096845197867388,True
2016-12-12,23.652216152286552,True
2016-12-28,46.08233367124728,True
2017-01-13,3.527845047683409,True
2017-01-29,46.77329728917925,True
2017-02-14,51.72559041075318,False
2017-03-02,53.29536494706015,False
2017-03-18,5.930295862431478,True
2017-04-03,10.531792070286105,True
2017-04-19,12.40859897123977,True
2017-05-05,18.66746921228505,True
2017-06-06,19.970737591049037,True
2017-06-22,26.090312194938804,True
2017-07-08,45.159124615153566,True
2017-07-24,9.836557595554552,True
2017-08-09,23.62220282345874,True
2017-08-25,36.35252402943606,True
2017-09-10,52.467405384095514,False
2017-10-28,17.53102237741233,True
2017-11-13,37.85434031688819,True
2017-12-15,37.03705789592251,True
2017-12-31,23.61295712247503,True
2018-01-16,52.841386949012545,False
2018-02-01,50.17299316662912,False
2018-02-17,23.042234549823537,True
2018-03-05,26.16875985582339,True
2018-03-21,27.437908312683035,True
2018-04-06,25.228068446346775,True
2018-04-22,33.48457328977999,True
2018-05-08,7.609423105804614,True
2018-05-24,19.845498235338287,True
2018-06-09,52.93443061500338,False
2018-06-25,46.14665465194864,True
2018-07-27,17.512624840429524,True
2018-08-12,46.8512286926485,True
2018-08-28,13.13232146879928,True
2018-09-13,7.243912855748292,True
2018-09-29,28.026300968686645,True
2018-10-15,8.54100961177442,True
2018-11-16,4.388845085229409,True
2018-12-02,28.59826725238417,True
2018-12-18,33.57907186303222,True
2019-01-03,27.91054197642111,True
2019-02-04,49.596333633701285,True
2019-02-20,31.469831793947588,True
2019-03-08,29.993875309754447,True
2019-03-24,9.1496536382068,True
2019-04-09,16.313124202147634,True
2019-04-25,18.038268754223928,True
2019-05-11,6.522466584065478,True
2019-05-27,10.65292483292033,True
2019-06-12,53.90271832995419,False
2019-06-28,9.529525230907865,True
2019-07-14,52.28852218968236,False
2019-07-30,12.457549560711866,True
2019-08-31,33.70229312157392,True
2019-10-18,24.313893895021398,True
2019-11-03,50.5431262671773,False
2019-11-19,52.004862206202596,False
2019-12-05,34.14214443943832,True
2020-01-06,29.970502928587518,True
2020-02-23,50.973896147781026,False
2020-03-10,10.831714162348883,True
2020-03-26,51.822482541112855,False
2020-04-11,26.986042276789068,True
2020-04-27,13.600097619583995,True
2020-05-29,32.18947116467673,True
2020-06-14,16.55632837726214,True
2020-08-17,23.312988097919952,True
2020-10-04,32.91769918149734,True
2020-10-20,23.557459450326647,True
2020-11-21,47.32590391980176,True
2020-12-07,19.222187805061196,True
2020-12-23,47.478035593602165,True
2021-01-08,33.94160189982729,True
2021-01-24,18.044862769392513,True
2021-02-09,42.434059848314185,True
2021-02-25,15.648653976120752,True
2021-03-13,29.446220057069915,True
2021-03-29,4.2026169557708215,True
2021-04-14,26.60030412255012,True
2021-05-16,46.29838739956447,True
2021-06-01,14.839913268754223,True
2021-06-17,44.85389915146054,True
2021-07-19,32.82721333633701,True
2021-08-04,31.928362243748587,True
2021-08-20,14.047575467447626,True
2021-09-05,42.34437185552301,True
2021-09-21,24.008950026282193,True
2021-10-07,30.724966208605544,True
2021-10-23,5.395382781407221,True
2021-11-08,53.91672767890666,False
2021-12-10,40.172758504167604,True
2021-12-18,33.51751989937674,True
2021-12-26,24.31295524517534,True
2022-01-11,49.445680333408426,True
2022-01-19,35.618382518585264,True
2022-02-04,0.12824303521814517,True
2022-02-12,51.284683111811965,False
2022-02-20,23.88293628444845,True
2022-02-28,31.808520124652695,True
2022-03-08,43.612980588721186,True
2022-03-24,31.550203687016598,True
2022-04-01,27.35807614327551,True
2022-04-09,7.5747634602387865,True
2022-04-17,11.496911842006464,True
2022-05-11,53.905510813246224,False
2022-05-19,50.895073026958016,False
2022-05-27,21.025169895622142,True
2022-06-04,49.18832601186453,True
2022-06-20,53.47180765187354,False
2022-06-28,50.093512990913865,False
2022-07-14,38.15102406698205,True
2022-07-30,46.16010081099346,True
2022-08-15,12.908336149282873,True
2022-08-23,53.905018022077044,False
2022-09-16,10.094897499436806,True
2022-09-24,21.470019523916793,True
2022-10-02,26.2087932717579,True
2022-10-10,34.86366110985958,True
2022-10-26,41.051334760081104,True
2022-11-03,36.46058609296388,True
2022-11-11,45.83619621536382,True
2022-11-27,9.23169163475257,True
2022-12-05,45.43640177968011,True
2022-12-13,6.079564654201397,True
2023-01-06,53.731367800555674,False
2023-01-14,45.33415934519787,True
2023-01-30,50.30930859052339,False
2023-02-15,19.017257077419835,True
2023-02-23,24.96501182698806,True
2023-03-03,45.298514117293685,True
2023-03-19,17.201415483967864,True
2023-03-27,22.9385372080799,True
2023-04-04,20.341034955320268,True
2023-04-12,7.3073655853420405,True
2023-04-20,23.276286888938948,True
2023-04-28,31.845690658556734,True
2023-05-22,4.498878313433952,True
2023-05-30,2.9735019148456887,True
2023-06-07,21.06794886235639,True
2023-06-15,11.704283059247578,True
2023-06-23,28.998976871667793,True
2023-07-09,34.890694225426145,True
2023-07-17,49.1198280393482,True
2023-08-02,46.956052414207406,True
2023-08-10,53.91672767890666,False
2023-08-18,49.935209694375615,True
2023-08-26,8.793271757903431,True
2023-09-19,39.81799579484869,True
2023-10-21,52.99790681084329,False
2023-10-29,13.776211796951266,True
2023-11-06,29.183445032665013,True
2023-11-30,41.17288991514605,True
2024-01-17,35.69626698956221,True
2024-02-02,7.209957197567018,True
2024-02-10,40.76176128257115,True
2024-02-18,16.2843311181197,True
2024-02-26,45.1160640534655,True
2024-03-05,18.159894308027337,True
2024-03-13,0.049443380641289725,True
2024-03-29,6.6722516332507364,True
2024-04-06,28.861230006758277,True
2024-04-14,34.176686753773375,True
2024-04-22,31.71343489524667,True
2024-04-30,17.747169970714125,True
2024-05-08,32.54031501088834,True
2024-06-17,16.788550349177743,True
2024-07-03,14.345033603664492,True
2024-07-11,22.05845911241271,True
2024-07-19,41.873099234061726,True
2024-07-27,40.16557783284524,True
2024-08-04,7.018167567770517,True
2024-08-12,9.262784410903357,True
2024-08-20,36.60877543741082,True
2024-08-28,33.671974731546136,True
2024-09-13,19.203790268078393,True
2024-09-21,46.362591049035075,True
2024-09-29,30.946370241045283,True
2024-10-31,12.241965157317713,True
2024-11-08,49.11569798002553,True
2024-11-16,18.8952091311857,True
2024-12-02,18.57440208004806,True
2024-12-10,46.103289029060605,True
2024-12-18,42.51079447322971,True
2024-12-26,10.579616279942927,True
